EID,Electorate,State,Established,Ceased
81,Adelaide,South Australia,2/10/1903,
235,Angas,South Australia,2/10/1903,1/11/1977
82,Aston,Victoria,14/09/1984,
234,Australian Capital Territory,Australian Capital Territory,15/09/1949,19/04/1974
237,Balaclava,Victoria,8/10/1900,14/09/1984
80,Ballaarat,Victoria,8/10/1900,7/11/1977
83,Ballarat,Victoria,7/11/1977,
84,Banks,New South Wales,11/05/1949,
85,Barker,South Australia,2/10/1903,
238,Barrier,New South Wales,11/12/1900,13/09/1922
86,Barton,New South Wales,13/09/1922,
87,Bass,Tasmania,2/10/1903,
88,Batman,Victoria,13/07/1906,13/07/2018
2980,Bean,Australian Capital Territory,13/07/2018,
89,Bendigo,Victoria,8/10/1900,
90,Bennelong,New South Wales,11/05/1949,
91,Berowra,New South Wales,21/11/1968,
92,Blair,Queensland,10/12/1997,
239,Bland,New South Wales,11/12/1900,13/07/1906
93,Blaxland,New South Wales,11/05/1949,
94,Bonner,Queensland,25/11/2003,
240,Bonython,South Australia,19/10/1955,17/12/2003
95,Boothby,South Australia,2/10/1903,
241,Bourke,Victoria,8/10/1900,11/05/1949
96,Bowman,Queensland,11/05/1949,
97,Braddon,Tasmania,30/08/1955,
98,Bradfield,New South Wales,11/05/1949,
99,Brand,Western Australia,31/08/1984,
100,Brisbane,Queensland,28/12/1900,
101,Bruce,Victoria,10/08/1955,
5584,Bullwinkel,Western Australia,24/09/2024,
242,Burke,Victoria,11/05/1949,29/01/2003
102,Burt,Western Australia,19/01/2016,
103,Calare,New South Wales,13/07/1906,
104,Calwell,Victoria,14/09/1984,
105,Canberra,Australian Capital Territory,19/04/1974,
106,Canning,Western Australia,11/05/1949,
244,Canobolas,New South Wales,11/12/1900,13/07/1906
107,Capricornia,Queensland,28/12/1900,
108,Casey,Victoria,21/11/1968,
245,Charlton,New South Wales,11/10/1984,25/02/2016
109,Chifley,New South Wales,21/11/1968,
110,Chisholm,Victoria,11/05/1949,
2974,Clark,Tasmania,14/11/2017,
111,Cook,New South Wales,13/07/1906,
247,Coolgardie,Western Australia,5/12/1900,1/02/1913
2981,Cooper,Victoria,13/07/2018,
112,Corangamite,Victoria,8/10/1900,
248,Corinella,Victoria,8/10/1900,20/12/1994
113,Corio,Victoria,8/10/1900,
114,Cowan,Western Australia,31/08/1984,
115,Cowper,New South Wales,11/12/1900,
116,Cunningham,New South Wales,11/05/1949,
117,Curtin,Western Australia,11/05/1949,
250,Dalley,New South Wales,11/12/1900,21/11/1968
251,Dampier,Western Australia,1/02/1913,13/09/1922
252,Darebin,Victoria,11/05/1949,21/11/1968
253,Darling,New South Wales,11/12/1900,1/11/1977
254,Darling Downs,Queensland,28/12/1900,13/09/1984
255,Darwin,Tasmania,2/10/1903,30/08/1955
118,Dawson,Queensland,11/05/1949,
119,Deakin,Victoria,21/07/1937,
120,Denison,Tasmania,2/10/1903,14/11/2017
256,Diamond Valley,Victoria,21/11/1968,14/09/1984
121,Dickson,Queensland,28/01/1992,
122,Dobell,New South Wales,11/10/1984,
257,Dundas,New South Wales,1/11/1977,31/01/1992
123,Dunkley,Victoria,14/09/1984,
124,Durack,Western Australia,18/12/2008,
258,East Sydney,New South Wales,11/12/1900,21/11/1968
259,Echuca,Victoria,8/10/1900,21/07/1937
125,Eden-Monaro,New South Wales,11/12/1900,
260,Evans,New South Wales,11/05/1949,1/11/1977
126,Fadden,Queensland,1/11/1977,
127,Fairfax,Queensland,13/09/1984,
128,Farrer,New South Wales,11/05/1949,
261,Fawkner,Victoria,13/07/1906,21/11/1968
129,Fenner,Australian Capital Territory,28/01/2016,
130,Fisher,Queensland,11/05/1949,
131,Flinders,Victoria,8/10/1900,
132,Flynn,Queensland,22/11/2006,
133,Forde,Queensland,13/09/1984,
134,Forrest,Western Australia,13/09/1922,
135,Fowler,New South Wales,11/10/1984,
136,Franklin,Tasmania,2/10/1903,
262,Fraser,Australian Capital Territory,19/04/1974,28/01/2016
5582,Fraser,Victoria,13/07/2018,
137,Fremantle,Western Australia,5/12/1900,
138,Gellibrand,Victoria,11/05/1949,
139,Gilmore,New South Wales,11/10/1984,
140,Gippsland,Victoria,8/10/1900,
141,Goldstein,Victoria,14/09/1984,
142,Gorton,Victoria,29/01/2003,
263,Grampians,Victoria,8/10/1900,4/10/1922
143,Grayndler,New South Wales,11/05/1949,
144,Greenway,New South Wales,11/10/1984,
145,Grey,South Australia,2/10/1903,
146,Griffith,Queensland,1/08/1934,
147,Groom,Queensland,13/09/1984,
264,Gwydir,New South Wales,11/12/1900,22/11/2006
148,Hasluck,Western Australia,20/11/2000,
5583,Hawke,Victoria,2021,
265,Hawker,South Australia,21/11/1968,17/01/1992
266,Henty,Victoria,1/02/1913,5/06/1989
149,Herbert,Queensland,28/12/1900,
150,Higgins,Victoria,11/05/1949,17/10/2024
267,Higinbotham,Victoria,11/05/1949,21/11/1968
151,Hindmarsh,South Australia,2/10/1903,
152,Hinkler,Queensland,13/09/1984,
268,Hoddle,Victoria,11/05/1949,10/08/1955
153,Holt,Victoria,21/11/1968,
154,Hotham,Victoria,21/11/1968,
155,Hughes,New South Wales,30/08/1955,
156,Hume,New South Wales,11/12/1900,
157,Hunter,New South Wales,11/12/1900,
269,Illawarra,New South Wales,11/12/1900,13/09/1922
158,Indi,Victoria,8/10/1900,
159,Isaacs,Victoria,11/05/1949,
160,Jagajaga,Victoria,14/09/1984,
270,Kalgoorlie,Western Australia,5/12/1900,18/12/2008
161,Kennedy,Queensland,28/12/1900,
162,Kingsford Smith,New South Wales,11/05/1949,
163,Kingston,South Australia,11/05/1949,
164,Kooyong,Victoria,8/10/1900,
165,La Trobe,Victoria,11/05/1949,
271,Laanecoorie,Victoria,8/10/1900,1/02/1913
166,Lalor,Victoria,11/05/1949,
272,Lang,New South Wales,11/12/1900,1/11/1977
273,Lawson,New South Wales,11/05/1949,21/11/1968
167,Leichhardt,Queensland,11/05/1949,
168,Lilley,Queensland,1/02/1913,
169,Lindsay,New South Wales,11/10/1984,
170,Lingiari,Northern Territory,21/12/2000,
171,Longman,Queensland,1/12/1994,
274,Lowe,New South Wales,11/05/1949,22/12/2009
172,Lyne,New South Wales,11/05/1949,
173,Lyons,Tasmania,12/09/1984,
174,Macarthur,New South Wales,11/05/1949,
175,Mackellar,New South Wales,11/05/1949,
2978,Macnamara,Victoria,13/07/2018,
176,Macquarie,New South Wales,11/12/1900,
177,Makin,South Australia,3/09/1984,
178,Mallee,Victoria,11/05/1949,
179,Maranoa,Queensland,28/12/1900,
180,Maribyrnong,Victoria,13/07/1906,
275,Martin,New South Wales,13/09/1922,30/08/1955
181,Mayo,South Australia,3/09/1984,
182,McEwen,Victoria,14/09/1984,
183,McMahon,New South Wales,22/12/2009,
184,McMillan,Victoria,11/05/1949,13/07/2018
185,McPherson,Queensland,11/05/1949,
186,Melbourne,Victoria,8/10/1900,
187,Melbourne Ports,Victoria,8/10/1900,13/07/2018
188,Menzies,Victoria,14/09/1984,
276,Mernda,Victoria,8/10/1900,1/02/1913
189,Mitchell,New South Wales,11/05/1949,
277,Moira,Victoria,8/10/1900,13/07/1906
2975,Monash,Victoria,13/07/2018,
190,Moncrieff,Queensland,13/09/1984,
191,Moore,Western Australia,11/05/1949,
192,Moreton,Queensland,28/12/1900,
193,Murray,Victoria,11/05/1949,13/07/2018
278,Namadgi,Australian Capital Territory,30/09/1994,10/12/1997
279,Nepean,New South Wales,13/07/1906,13/09/1922
194,New England,New South Wales,11/12/1900,
195,Newcastle,New South Wales,11/12/1900,
2976,Nicholls,Victoria,13/07/2018,
196,North Sydney,New South Wales,11/12/1900,10/10/2024
280,Northern Melbourne,Victoria,8/10/1900,13/07/1906
233,Northern Territory,Northern Territory,11/10/1922,21/12/2000
197,O'Connor,Western Australia,28/02/1980,
198,Oxley,Queensland,28/12/1900,
199,Page,New South Wales,11/10/1984,
200,Parkes,New South Wales,11/12/1900,
201,Parramatta,New South Wales,11/12/1900,
202,Paterson,New South Wales,11/05/1949,
203,Pearce,Western Australia,31/03/1989,
204,Perth,Western Australia,5/12/1900,
205,Petrie,Queensland,11/05/1949,
281,Phillip,New South Wales,11/05/1949,31/01/1992
206,Port Adelaide,South Australia,11/05/1949,20/07/2018
282,Prospect,New South Wales,21/11/1968,22/12/2009
207,Rankin,Queensland,13/09/1984,
208,Reid,New South Wales,13/09/1922,
209,Richmond,New South Wales,11/12/1900,
283,Riverina,New South Wales,11/12/1900,
284,Riverina-Darling,New South Wales,11/10/1984,31/01/1992
211,Robertson,New South Wales,11/12/1900,
212,Ryan,Queensland,11/05/1949,
213,Scullin,Victoria,10/08/1955,
214,Shortland,New South Wales,11/05/1949,
215,Solomon,Northern Territory,21/12/2000,
231,South Australia,South Australia,1/01/1901,2/10/1903
286,South Sydney,New South Wales,11/12/1900,1/08/1934
287,Southern Melbourne,Victoria,8/10/1900,13/07/1906
2977,Spence,South Australia,20/07/2018,
288,St George,New South Wales,11/05/1949,31/01/1992
216,Stirling,Western Australia,30/08/1955,2/08/2021
289,Streeton,Victoria,14/09/1984,5/06/1989
217,Sturt,South Australia,11/05/1949,
218,Swan,Western Australia,5/12/1900,
219,Sydney,New South Wales,21/11/1968,
220,Tangney,Western Australia,19/04/1974,
232,Tasmania,Tasmania,1/01/1901,2/10/1903
290,Throsby,New South Wales,11/10/1984,25/02/2016
