State,Division,Candidate,Party,Votes,Percent
NSW,Barton,"EVATT, Dr Herbert",ALP,35425,57.4
NSW,Barton,"LANE, Albert",UAP,21845,35.4
NSW,Barton,"LEWIS, Samuel",SL,1111,1.8
NSW,Barton,"MACKAY, John",IND,484,0.8
NSW,Barton,"MACKIE, Robert",IND,155,0.3
NSW,Barton,"ROSE, John",ALPNC,2643,4.3
NSW,Calare,"BRAZIER, Richard",IND,1435,3.0
NSW,Calare,"BREEN, John",ALP,12589,26.6
NSW,Calare,"HEISS, John",ALPNC,6592,13.9
NSW,Calare,"HODBY, Herbert",CP,4027,8.5
NSW,Calare,"MCGIRR, Gregory",SL,5502,11.6
NSW,Calare,"THORBY, Hon Harold",CP,17227,36.4
NSW,Cook,"GARDEN, John",ALP,17634,32.6
NSW,Cook,"GLASSOP, Cyril",IND,4901,9.0
NSW,Cook,"SHEEHAN, Thomas",ALPNC,31625,58.4
NSW,Cowper,"CAIN, John",IND,4243,8.2
NSW,Cowper,"KELLY, Myles",ALP,11350,21.9
NSW,Cowper,"MCELHONE, Joseph",IND,8391,16.2
NSW,Cowper,"PAGE, Rt Hon Sir Earle",CP,27773,53.7
NSW,Dalley,"COCHRANE, Donald",ALP,18643,33.5
NSW,Dalley,"O'CONNELL, Hubert",UAP,14736,26.5
NSW,Dalley,"ROSEVEAR, Sol",ALPNC,20721,37.2
NSW,Dalley,"RYAN, Edmund",SL,1564,2.8
NSW,Darling,"CLARK, Joseph",ALP,29128,63.4
NSW,Darling,"HUIE, Alexander",IND,10648,23.2
NSW,Darling,"MURPHY, Charles",ALPNC,6158,13.4
NSW,East Sydney,"AARONS, Frederick",IND,2264,4.7
NSW,East Sydney,"CATTS, James",UAP,2508,5.2
NSW,East Sydney,"GOULD, Diana",IND,1867,3.9
NSW,East Sydney,"GOULD, Stephen",ALPNC,5547,11.5
NSW,East Sydney,"NOTT, Dr Lewis",UAP,12211,25.3
NSW,East Sydney,"PHILLIPS, Louis",IND,187,0.4
NSW,East Sydney,"WARD, Eddie",ALP,23685,49.1
NSW,Eden-Monaro,"ALAM, George",IND,1018,2.1
NSW,Eden-Monaro,"BEALE, Rupert",IND,987,2.0
NSW,Eden-Monaro,"KELLY, Benjamin",ALPNC,4575,9.4
NSW,Eden-Monaro,"LOUAT, Frank",UAP,6173,12.7
NSW,Eden-Monaro,"MAY, Roy",UAP,1175,2.4
NSW,Eden-Monaro,"OSBORNE, Pat",UAP,4763,9.8
NSW,Eden-Monaro,"PERKINS, Hon John",UAP,13092,27.0
NSW,Eden-Monaro,"TURNER, Herbert",ALP,16736,34.5
NSW,Gwydir,"BATCHELOR, Ernest",CP,7738,15.8
NSW,Gwydir,"DEAKINS, Frederick",IND,788,1.6
NSW,Gwydir,"SCULLY, William",ALP,27231,55.4
NSW,Gwydir,"WADE, Benjamin",CP,13373,27.2
NSW,Hume,"COLLINS, Hon Thomas",CP,21379,42.2
NSW,Hume,"FISHER, John",SL,2473,4.9
NSW,Hume,"FULLER, Arthur",ALPNC,11037,21.8
NSW,Hume,"NOLAN, Clarence",ALP,11584,22.9
NSW,Hume,"ROBERTS, Eric",IND,4188,8.3
NSW,Hunter,"GOLLAN, William",SL,12956,25.0
NSW,Hunter,"JAMES, Rowland",ALP,38921,75.0
NSW,Lang,"CALMAN, Matthew",UAP,5626,9.2
NSW,Lang,"METCALFE, John",ALP,12487,20.3
NSW,Lang,"MULCAHY, Daniel",ALPNC,23298,38.0
NSW,Lang,"ROBINSON, Arthur",SL,3738,6.1
NSW,Lang,"STEVENS, Hon Bertram",UAP,15615,25.4
NSW,Lang,"WILLMOTT, Stanley",UAP,608,1.0
NSW,Macquarie,"CHIFLEY, Hon Ben",ALP,22660,44.6
NSW,Macquarie,"CUNNINGHAM, Bernard",ALPNC,7660,15.1
NSW,Macquarie,"LAWSON, Hon John",UAP,20468,40.3
NSW,Martin,"LOCKWOOD, Rupert",SL,8555,14.9
NSW,Martin,"MCCALL, William",UAP,28727,50.1
NSW,Martin,"WATT, Raymond",ALP,20036,35.0
NSW,New England,"ABBOTT, Joseph",CP,16898,34.8
NSW,New England,"CUTHBERTSON, Leigh",ALP,16085,33.1
NSW,New England,"SHAND, Donald",CP,3938,8.1
NSW,New England,"THOMPSON, Victor",CP,11635,24.0
NSW,Newcastle,"CLARKE, Arthur",IND,6190,10.4
NSW,Newcastle,"HICKEY, Thomas",SL,9029,15.2
NSW,Newcastle,"WATKINS, David",ALP,44170,74.4
NSW,North Sydney,"DOOLEY, James",ALP,9704,15.5
NSW,North Sydney,"HUGHES, Rt Hon Billy",UAP,38381,61.3
NSW,North Sydney,"STEEL, John",ALPNC,3526,5.6
NSW,North Sydney,"WILSON, William",SL,10965,17.5
NSW,Parkes,"KNOX, David",IND,6785,11.8
NSW,Parkes,"MARR, Hon Sir Charles",UAP,28909,50.5
NSW,Parkes,"MURPHY, Daniel",ALP,21565,37.7
NSW,Parramatta,"DALTON, James",ALPNC,5639,9.3
NSW,Parramatta,"ROWE, Albert",ALP,10553,17.5
NSW,Parramatta,"RYDGE, Norman",UAP,7189,11.9
NSW,Parramatta,"STEWART, Hon Sir Frederick",UAP,25561,42.4
NSW,Parramatta,"WALLACE, Gordon",UAP,7437,12.3
NSW,Parramatta,"WOOD, William",SL,3952,6.6
NSW,Reid,"BROWN, Leslie",IND,15472,26.4
NSW,Reid,"GANDER, Joseph",ALPNC,18677,31.9
NSW,Reid,"HUGHES, Jack",SL,6211,10.6
NSW,Reid,"JAMES, Edward",IND,614,1.0
NSW,Reid,"MORGAN, Charles",ALP,17601,30.0
NSW,Richmond,"ANTHONY, Larry",CP,34311,64.9
NSW,Richmond,"COLLINGRIDGE, Alexander",SL,2146,4.1
NSW,Richmond,"FREDERICKS, James",ALP,16380,31.0
NSW,Riverina,"CUTTLE, Ronald",IND,1408,3.0
NSW,Riverina,"HOGAN, John",IND,7571,16.3
NSW,Riverina,"LANGTRY, Joseph",ALP,10083,21.7
NSW,Riverina,"LENON, Charles",SL,1177,2.5
NSW,Riverina,"NOCK, Hon Horace",CP,12355,26.6
NSW,Riverina,"QUIRK, William",ALPNC,6724,14.5
NSW,Riverina,"ROBERTON, Hugh",CP,7199,15.5
NSW,Robertson,"COX, William",IND,1640,3.1
NSW,Robertson,"DOWN, Edward",IND,161,0.3
NSW,Robertson,"GARDNER, Sydney",UAP,9142,17.1
NSW,Robertson,"MCKEON, Michael",ALPNC,4735,8.9
NSW,Robertson,"MARSHALL, Augustine",UAP,1617,3.0
NSW,Robertson,"RUSSELL, James",SL,3503,6.6
NSW,Robertson,"SPOONER, Eric",UAP,14809,27.8
NSW,Robertson,"WILLIAMS, Thomas",ALP,17712,33.2
NSW,Warringah,"ESPLIN, Patrick",IND,3399,5.3
NSW,Warringah,"FREWIN, Elizabeth",ALP,7012,11.0
NSW,Warringah,"HAMLET, Joseph",UAP,2752,4.3
NSW,Warringah,"SPENDER, Hon Percy",UAP,43759,68.8
NSW,Warringah,"WARREN, Arthur",SL,6697,10.5
NSW,Watson,"FALSTEIN, Max",ALP,21101,34.5
NSW,Watson,"IRWIN, Cecil",ALPNC,6693,10.9
NSW,Watson,"JENNINGS, John",UAP,27586,45.0
NSW,Watson,"WILSON, Richard",SL,5868,9.6
NSW,Wentworth,"COWPER, Norman",UAP,13099,20.9
NSW,Wentworth,"HARRISON, Hon Eric",UAP,26969,43.0
NSW,Wentworth,"MCDONALD, George",IND,771,1.2
NSW,Wentworth,"MORLEY, James",SL,6249,10.0
NSW,Wentworth,"SMITH, Norman",ALP,14500,23.1
NSW,Wentworth,"STRANGER, Richard",UAP,1062,1.7
NSW,Werriwa,"CONNOR, Rex",SL,7512,12.6
NSW,Werriwa,"DUNCAN, Walter",UAP,6010,10.1
NSW,Werriwa,"HARDWICK, Charles",UAP,7954,13.3
NSW,Werriwa,"LAZZARINI, Hubert",ALP,24766,41.5
NSW,Werriwa,"QUILKEY, Cornelius",ALPNC,6301,10.6
NSW,Werriwa,"SCOTT, Andrew",UAP,4170,7.0
NSW,Werriwa,"SHEPPARD, Mont",UAP,731,1.2
NSW,Werriwa,"WORLAND, Joseph",UAP,2278,3.8
NSW,West Sydney,"BEASLEY, Hon John",ALPNC,30570,62.8
NSW,West Sydney,"BURKE, Peter",SL,1983,4.1
NSW,West Sydney,"IVEY, Malinda",IND,2937,6.0
NSW,West Sydney,"MORAN, Stanley",IND,2470,5.1
NSW,West Sydney,"MULCAHY, Henry",ALP,10714,22.0
VIC,Balaclava,"MOFFAT, Harry",IND,7586,11.1
VIC,Balaclava,"SANDFORD, Charles",ALP,17135,25.0
VIC,Balaclava,"WHITE, Hon Thomas",UAP,43876,64.0
VIC,Ballaarat,"MONTGOMERY, Edward",UAP,19089,40.1
VIC,Ballaarat,"POLLARD, Reginald",ALP,22715,47.8
VIC,Ballaarat,"RUSSELL, Alex",IND,5749,12.1
VIC,Batman,"BRENNAN, Hon Frank",ALP,35636,59.7
VIC,Batman,"PETERS, Albert",UAP,24082,40.3
VIC,Bendigo,"BARTON, John",IND,5769,12.6
VIC,Bendigo,"GRANDI, Albert de",ALP,17453,38.1
VIC,Bendigo,"RANKIN, George",CP,22561,49.3
VIC,Bourke,"BLACKBURN, Maurice",ALP,39736,66.2
VIC,Bourke,"LUCAS, Charles",UAP,20278,33.8
VIC,Corangamite,"MCDONALD, Allan",UAP,26665,56.2
VIC,Corangamite,"MILLER, Harold",ALP,20801,43.8
VIC,Corio,"DEDMAN, John",ALP,28056,52.6
VIC,Corio,"LYALL, Henry",IND,4033,7.6
