State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"MELHAM, Daryl",ALP,30484,48.6
NSW,Banks,"TERRETT, Paul",AD,7400,11.8
NSW,Banks,"PRATT, Stephen",LP,21957,35
NSW,Banks,"CLIPSHAM, Ian",CTA,1415,2.3
NSW,Banks,"ROBINSON, Graeme",IND,354,0.6
NSW,Banks,"HAY, John",IND,671,1.1
NSW,Banks,"MEYER, Brian",IND,483,0.8
NSW,Barton,"HARDY, Joe",IND,808,1.2
NSW,Barton,"PUNCH, Hon Gary",ALP,29530,45.1
NSW,Barton,"LINDON, Max",IND,941,1.4
NSW,Barton,"MUDIE, Cathy",CTA,968,1.5
NSW,Barton,"GEORGE, Ron",AD,4840,7.4
NSW,Barton,"SAID, Noel",IND,827,1.3
NSW,Barton,"MCCANN, Rosemary",IND,397,0.6
NSW,Barton,"MACAULEY, Dr David",LP,27238,41.6
NSW,Bennelong,"HOWARD, Hon John",LP,33862,52.8
NSW,Bennelong,"PITTY, Hugh",NDP,1399,2.2
NSW,Bennelong,"SPRINGETT, Bob",AD,5827,9.1
NSW,Bennelong,"PEEBLES, Robyn",CTA,893,1.4
NSW,Bennelong,"MESSER, Judy",IND,3381,5.3
NSW,Bennelong,"DAWSON, John",IND,372,0.6
NSW,Bennelong,"CLARIDGE, Martin",ALP,18363,28.6
NSW,Berowra,"YEOMANS, Martyn",AD,11070,16.7
NSW,Berowra,"VARIDEL, Beville",CTA,1471,2.2
NSW,Berowra,"PAUL, Les",IND,837,1.3
NSW,Berowra,"EDWARDS, Dr Harry",LP,34720,52.4
NSW,Berowra,"DEANE, Sue",ALP,16089,24.3
NSW,Berowra,"GALLAGHER, Mick",IND,2103,3.2
NSW,Blaxland,"KEATING, Hon Paul",ALP,33780,55.3
NSW,Blaxland,"RICHARDSON, Fiona",AD,5382,8.8
NSW,Blaxland,"MILLER, Stephanie",IND,707,1.2
NSW,Blaxland,"VOIGHT, David",LP,19243,31.5
NSW,Blaxland,"IRSAK, Michael",IND,646,1.1
NSW,Blaxland,"ARJA, Mohamad",IND,1313,2.1
NSW,Bradfield,"CONNOLLY, David",LP,41250,63.6
NSW,Bradfield,"JACOBS, Alan",IND,957,1.5
NSW,Bradfield,"LONG, Henry",AD,7496,11.6
NSW,Bradfield,"HARDWICK, Anthony",IND,1483,2.3
NSW,Bradfield,"TRENOWETH, Giovanna",NDP,1811,2.8
NSW,Bradfield,"MCCARTHY, Adam",ALP,11898,18.3
NSW,Calare,"LEWIS, Joanne",NPA,16229,23.7
NSW,Calare,"ADAMS, Steve",AD,3759,5.5
NSW,Calare,"PHILLIPS, Mike",IND,1814,2.6
NSW,Calare,"LONEREGAN, John",LP,13387,19.5
NSW,Calare,"SIMMONS, Hon David",ALP,31645,46.2
NSW,Calare,"DAVIS, Brian",IND,1706,2.5
NSW,Charlton,"PENDLEBURY, Geoff",IND,7510,11.1
NSW,Charlton,"BLAKE, Mollie",LP,13950,20.7
NSW,Charlton,"GODFREY, Lyn",AD,9299,13.8
NSW,Charlton,"BROWN, Hon Robert",ALP,36750,54.4
NSW,Chifley,"LOVELL, Nigel",AD,8569,12.7
NSW,Chifley,"PRICE, Roger",ALP,40085,59.6
NSW,Chifley,"BIRD, Bill",CTA,1789,2.7
NSW,Chifley,"CONDON, Darren",LP,16772,25
NSW,Cook,"POULOS, Patricia",IND,1342,2.1
NSW,Cook,"RICHARDSON, Terri",AD,6368,9.8
NSW,Cook,"DOBIE, Hon Donald",LP,32654,50.2
NSW,Cook,"SMITH, Paul",ALP,22034,33.9
NSW,Cook,"RALPH, Dennis",IND,2644,4.1
NSW,Cowper,"NEHL, Garry",NPA,35379,47.5
NSW,Cowper,"REES, David",IND,6640,8.9
NSW,Cowper,"MURPHY, John",ALP,23219,31.2
NSW,Cowper,"MEERS, Angelique",GRN,1906,2.6
NSW,Cowper,"PIKE, Trevor",AD,7353,9.9
NSW,Cunningham,"SAMPSON, Meg",AD,8455,13.6
NSW,Cunningham,"BRIGHAM, Steve",GRN,4295,6.9
NSW,Cunningham,"THOMPSON, Jeff",LP,13511,21.8
NSW,Cunningham,"CONNOR, Rex",IND,7947,12.8
NSW,Cunningham,"SYMONDS, Peter",IND,308,0.5
NSW,Cunningham,"WEST, Hon Stewart",ALP,27547,44.4
NSW,Dobell,"CRAIG, Gordon",IND,1861,2.6
NSW,Dobell,"LEE, Michael",ALP,37063,51.1
NSW,Dobell,"MALLOY, Neville",IND,1948,2.7
NSW,Dobell,"CROOK, Ian",LP,23659,32.6
NSW,Dobell,"BENNINSON, Rod",AD,6317,8.7
NSW,Dobell,"SINGMAN, Karl",GRN,1657,2.3
NSW,Dundas,"LIGGINS, Barry",IND,1376,2.2
NSW,Dundas,"REDDY, Peter",AD,7447,11.9
NSW,Dundas,"RUDDOCK, Philip",LP,30887,49.4
NSW,Dundas,"TALBOT, Richard",ALP,19191,30.7
NSW,Dundas,"WILSON, John",IND,513,0.8
NSW,Dundas,"PREDA, Alec",IND,1499,2.4
NSW,Dundas,"COLEMAN, Bruce",CTA,1559,2.5
NSW,Eden-Monaro,"SNOW, James",ALP,29225,41.8
NSW,Eden-Monaro,"WHITE, Gaye",NPA,6615,9.5
NSW,Eden-Monaro,"POLLOCK, Rob",LP,22290,31.9
NSW,Eden-Monaro,"COLLINS, Jim",IND,7259,10.4
NSW,Eden-Monaro,"REDMOND, Denise",AD,4208,6
NSW,Eden-Monaro,"DOYLE, Greg",IND,330,0.5
NSW,Farrer,"HIGGINS, Bill",ALP,21898,32.2
NSW,Farrer,"FISCHER, Tim",NPA,46091,67.8
NSW,Fowler,"LOGOZZO, Rose-Mary",IND,3077,4.9
NSW,Fowler,"BRANCH, Pam",IND,1235,2
NSW,Fowler,"ARORA, Gloria",LP,17424,27.8
NSW,Fowler,"IVETIC-ELVY, Mirjana",GRN,1026,1.6
NSW,Fowler,"GRACE, Ted",ALP,35645,56.8
NSW,Fowler,"PHILLIPS, Jon",AD,4378,7
NSW,Gilmore,"NAGY, Susan",AD,7935,11.8
NSW,Gilmore,"SHARP, John",NPA,32819,48.7
NSW,Gilmore,"SHEA, Mick",ALP,26677,39.6
NSW,Grayndler,"ADRA, Galeb",IND,2481,4.2
NSW,Grayndler,"WELCH, Bruce",IND,1766,3
NSW,Grayndler,"PEPPER, Lee",IND,354,0.6
NSW,Grayndler,"WILSON, Clay",CTA,870,1.5
NSW,Grayndler,"FARES, Habib",IND,686,1.2
NSW,Grayndler,"MATTOSIAN, George der",IND,270,0.5
NSW,Grayndler,"URBAN, Paul",IND,353,0.6
NSW,Grayndler,"BENNETT, Diana",LP,15932,27.2
NSW,Grayndler,"MCLEAY, Hon Leo",ALP,30515,52
NSW,Grayndler,"HENNESSY, Peter",AD,5447,9.3
NSW,Greenway,"PACKARD, Tony",LP,21824,35.3
NSW,Greenway,"BIALA, Remi",IND,1531,2.5
NSW,Greenway,"POSGATE, Roger",AD,4866,7.9
NSW,Greenway,"GORMAN, Russell",ALP,30891,49.9
NSW,Greenway,"F, Ivor",IND,764,1.2
NSW,Greenway,"LORD, Gail",IND,695,1.1
NSW,Greenway,"WORMALD, Warren",IND,1279,2.1
NSW,Gwydir,"ANDERSON, John",NPA,33449,51.8
