State,Division,Winner,Party
NSW,Barrier,THOMAS,ALP
NSW,Calare,BROWN,ALP
NSW,Cook,CATTS,ALP
NSW,Cowper,,
NSW,Dalley,HOWE,ALP
NSW,Darling,SPENCE,ALP
NSW,East Sydney,WEST,ALP
NSW,Eden-Monaro,CHAPMAN,LP
NSW,Gwydir,WEBSTER,ALP
NSW,Hume,LYNE,IND
NSW,Hunter,CHARLTON,ALP
NSW,Illawarra,FULLER,LP
NSW,Lang,JOHNSON,LP
NSW,Macquarie,CARR,ALP
NSW,Nepean,CANN,ALP
NSW,New England,FOSTER,ALP
NSW,Newcastle,WATKINS,ALP
NSW,North Sydney,EDWARDS,LP
NSW,Parkes,SMITH,LP
NSW,Parramatta,COOK,LP
NSW,Richmond,MASSY-GREENE,LP
NSW,Riverina,,
NSW,Robertson,JOHNSON,ALP
NSW,South Sydney,RILEY,ALP
NSW,Wentworth,KELLY,LP
NSW,Werriwa,HALL,ALP
NSW,West Sydney,HUGHES,ALP
VIC,Balaclava,,
VIC,Ballaarat,DEAKIN,LP
VIC,Batman,BEARD,ALP
VIC,Bendigo,QUICK,LP
VIC,Bourke,,
VIC,Corangamite,SCULLIN,ALP
VIC,Corio,OZANNE,ALP
VIC,Echuca,PALMER,LP
VIC,Fawkner,,
VIC,Flinders,IRVINE,LP
VIC,Gippsland,WISE,IND
VIC,Grampians,IRVINE,LP
VIC,Indi,MOLONEY,ALP
VIC,Kooyong,KNOX,LP
VIC,Laanecoorie,,
VIC,Maribyrnong,FENTON,ALP
VIC,Melbourne,MALONEY,ALP
VIC,Melbourne Ports,MATHEWS,ALP
VIC,Mernda,,
VIC,Wannon,McDOUGALL,ALP
VIC,Wimmera,SAMPSON,LP
VIC,Yarra,TUDOR,ALP
QLD,Brisbane,FINLAYSON,ALP
QLD,Capricornia,HIGGS,ALP
QLD,Darling Downs,GROOM,LP
QLD,Herbert,BAMFORD,ALP
QLD,Kennedy,McDONALD,ALP
QLD,Maranoa,PAGE,ALP
QLD,Moreton,SINCLAIR,LP
QLD,Oxley,EDWARDS,LP
QLD,Wide Bay,FISHER,ALP
SA,Adelaide,ROBERTS,ALP
SA,Angas,GLYNN,LP
SA,Barker,LIVINGSTON,LP
SA,Boothby,BATCHELOR,ALP
SA,Grey,POYNTON,ALP
SA,Hindmarsh,ARCHIBALD,ALP
SA,Wakefield,FOSTER,LP
WA,Coolgardie,MAHON,ALP
WA,Fremantle,HEDGES,LP
WA,Kalgoorlie,FRAZER,ALP
WA,Perth,FOWLER,LP
WA,Swan,FORREST,LP
TAS,Bass,JENSEN,ALP
TAS,Darwin,O'MALLEY,ALP
TAS,Denison,SMITH,ALP
TAS,Franklin,McWILLIAMS,LP
TAS,Wilmot,ATKINSON,LP
