State,Division,Winner,Party
NSW,Banks,MOUNTFORD,ALP
NSW,Barton,BRADFIELD,LP
NSW,Bennelong,HOWARD,LP
NSW,Berowra,EDWARDS,LP
NSW,Blaxland,KEATING,ALP
NSW,Bradfield,CONNOLLY,LP
NSW,Calare,MACKENZIE,NCP
NSW,Chifley,ARMITAGE,ALP
NSW,Cook,DOBIE,LP
NSW,Cowper,ROBINSON,NCP
NSW,Cunningham,WEST,ALP
NSW,Dundas,RUDDOCK,LP
NSW,Eden-Monaro,SAINSBURY,LP
NSW,Farrer,FIFE,LP
NSW,Grayndler,McLEAY,ALP
NSW,Gwydir,HUNT,NCP
NSW,Hughes,JOHNSON,ALP
NSW,Hume,LUSHER,NCP
NSW,Hunter,BROWN,ALP
NSW,Kingsford-Smith,BOWEN,ALP
NSW,Lowe,McMAHON,LP
NSW,Lyne,COWAN,NCP
NSW,Macarthur,BAUME,LP
NSW,Mackellar,CARLTON,LP
NSW,Macquarie,FREE,ALP
NSW,Mitchell,CADMAN,LP
NSW,New England,SINCLAIR,NCP
NSW,Newcastle,JONES,ALP
NSW,North Sydney,SPENDER,LP
NSW,Parramatta,BROWN,ALP
NSW,Paterson,O'KEEFE,NCP
NSW,Phillip,BIRNEY,LP
NSW,Prospect,KLUGMAN,ALP
NSW,Reid,UREN,ALP
NSW,Richmond,ANTHONY,NCP
NSW,Riverina,HICKS,NCP
NSW,Robertson,COHEN,ALP
NSW,Shortland,MORRIS,ALP
NSW,St George,MORRISON,ALP
NSW,Sydney,McMAHON,ALP
NSW,Warringah,MACKELLAR,LP
NSW,Wentworth,ELLICOTT,LP
NSW,Werriwa,KERIN,ALP
VIC,Balaclava,MACPHEE,LP
VIC,Ballarat,MILDREN,ALP
VIC,Batman,HOWE,ALP
VIC,Bendigo,BOURCHIER,LP
VIC,Bruce,SNEDDEN,LP
VIC,Burke,THEOPHANOUS,ALP
VIC,Casey,FALCONER,LP
VIC,Chisholm,HARRIS,LP
VIC,Corangamite,STREET,LP
VIC,Corio,SCHOLES,ALP
VIC,Deakin,JARMAN,LP
VIC,Diamond Valley,BROWN,LP
VIC,Flinders,LYNCH,LP
VIC,Gellibrand,WILLIS,ALP
VIC,Gippsland,NIXON,NCP
VIC,Henty,CHILD,ALP
VIC,Higgins,SHIPTON,LP
VIC,Holt,DUFFY,ALP
VIC,Hotham,KENT,ALP
VIC,Indi,CAMERON,LP
VIC,Isaacs,CHARLES,ALP
VIC,Kooyong,PEACOCK,LP
VIC,La Trobe,MILTON,ALP
VIC,Lalor,JONES,ALP
VIC,Mcmillan,CUNNINGHAM,ALP
VIC,Mallee,FISHER,NCP
VIC,Maribyrnong,CASS,ALP
VIC,Melbourne,INNES,ALP
VIC,Melbourne Ports,HOLDING,ALP
VIC,Murray,LLOYD,NCP
VIC,Scullin,JENKINS,ALP
VIC,Wannon,FRASER,LP
VIC,Wills,HAWKE,ALP
QLD,Bowman,JULL,LP
QLD,Brisbane,CROSS,ALP
QLD,Capricornia,EVERINGHAM,ALP
QLD,Darling Downs,McVEIGH,NCP
QLD,Dawson,BRAITHWAITE,NCP
QLD,Fadden,CAMERON,LP
QLD,Fisher,ADERMANN,NCP
QLD,Griffith,HUMPHREYS,ALP
QLD,Herbert,DEAN,LP
QLD,Kennedy,KATTER,NCP
QLD,Leichhardt,THOMSON,NCP
QLD,Lilley,DARLING,ALP
QLD,Mcpherson,ROBINSON,LP
QLD,Maranoa,CAMERON,NCP
QLD,Moreton,KILLEN,LP
QLD,Oxley,HAYDEN,ALP
QLD,Petrie,HODGES,LP
QLD,Ryan,MOORE,LP
QLD,Wide Bay,MILLAR,NCP
SA,Adelaide,HURFORD,ALP
SA,Barker,PORTER,LP
SA,Bonython,BLEWETT,ALP
SA,Boothby,McLEAY,LP
SA,Grey,WALLIS,ALP
SA,Hawker,JACOBI,ALP
SA,Hindmarsh,SCOTT,ALP
SA,Kingston,CHAPMAN,LP
SA,Port Adelaide,YOUNG,ALP
SA,Sturt,WILSON,LP
SA,Wakefield,GILES,LP
WA,Canning,BUNGEY,LP
WA,Curtin,GARLAND,LP
WA,Forrest,DRUMMOND,LP
WA,Fremantle,DAWKINS,ALP
WA,Kalgoorlie,CAMPBELL,ALP
WA,Moore,HYDE,LP
WA,O'connor,TUCKEY,LP
WA,Perth,McLEAN,LP
WA,Stirling,VINER,LP
WA,Swan,BEAZLEY,ALP
WA,Tangney,SHACK,LP
TAS,Bass,NEWMAN,LP
TAS,Braddon,GROOM,LP
TAS,Denison,HODGMAN,LP
TAS,Franklin,GOODLUCK,LP
TAS,Wilmot,BURR,LP
NT,Northern Territory,TAMBLING,CLP
ACT,Canberra,KELLY,ALP
ACT,Fraser,FRY,ALP
