State,Division,Candidate,Party
NSW,Banks,SOON,ALP
NSW,Barton,AMBIHAIPAHAR,ALP
NSW,Bennelong,LAXALE,ALP
NSW,Berowra,LEESER,LP
NSW,Blaxland,CLARE,ALP
NSW,Bradfield,BOELE,IND
NSW,Calare,GEE,IND
NSW,Chifley,HUSIC,ALP
NSW,Cook,KENNEDY,LP
NSW,Cowper,CONAGHAN,NP
NSW,Cunningham,BYRNES,ALP
NSW,Dobell,McBRIDE,ALP
NSW,Eden-Monaro,McBAIN,ALP
NSW,Farrer,LEY,LP
NSW,Fowler,LE,IND
NSW,Gilmore,PHILLIPS,ALP
NSW,Grayndler,ALBANESE,ALP
NSW,Greenway,ROWLAND,ALP
NSW,Hughes,MONCRIEFF,ALP
NSW,Hume,TAYLOR,LP
NSW,Hunter,REPACHOLI,ALP
NSW,Kingsford Smith,THISTLETHWAITE,ALP
NSW,Lindsay,McINTOSH,LP
NSW,Lyne,PENFOLD,NP
NSW,Macarthur,FREELANDER,ALP
NSW,Mackellar,SCAMPS,IND
NSW,Macquarie,TEMPLEMAN,ALP
NSW,McMahon,BOWEN,ALP
NSW,Mitchell,HAWKE,LP
NSW,New England,JOYCE,NP
NSW,Newcastle,CLAYDON,ALP
NSW,Page,HOGAN,NP
NSW,Parkes,CHAFFEY,NP
NSW,Parramatta,CHARLTON,ALP
NSW,Paterson,SWANSON,ALP
NSW,Reid,SITOU,ALP
NSW,Richmond,ELLIOT,ALP
NSW,Riverina,McCORMACK,NP
NSW,Robertson,REID,ALP
NSW,Shortland,CONROY,ALP
NSW,Sydney,PLIBERSEK,ALP
NSW,Warringah,STEGGALL,IND
NSW,Watson,BURKE,ALP
NSW,Wentworth,SPENDER,IND
NSW,Werriwa,STANLEY,ALP
NSW,Whitlam,BERRY,ALP
VIC,Aston,DOYLE,ALP
VIC,Ballarat,KING,ALP
VIC,Bendigo,CHESTERS,ALP
VIC,Bruce,HILL,ALP
VIC,Calwell,ABDO,ALP
VIC,Casey,VIOLI,LP
VIC,Chisholm,GARLAND,ALP
VIC,Cooper,KEARNEY,ALP
VIC,Corangamite,COKER,ALP
VIC,Corio,MARLES,ALP
VIC,Deakin,GREGG,ALP
VIC,Dunkley,BELYEA,ALP
VIC,Flinders,McKENZIE,LP
VIC,Fraser,MULINO,ALP
VIC,Gellibrand,WATTS,ALP
VIC,Gippsland,CHESTER,NP
VIC,Goldstein,WILSON,LP
VIC,Gorton,JORDAN-BAIRD,ALP
VIC,Hawke,RAE,ALP
VIC,Holt,FERNANDO,ALP
VIC,Hotham,O'NEIL,ALP
VIC,Indi,HAINES,IND
VIC,Isaacs,DREYFUS,ALP
VIC,Jagajaga,THWAITES,ALP
VIC,Kooyong,RYAN,IND
VIC,La Trobe,WOOD,LP
VIC,Lalor,RYAN,ALP
VIC,Macnamara,BURNS,ALP
VIC,Mallee,WEBSTER,NP
VIC,Maribyrnong,BRISKEY,ALP
VIC,McEwen,MITCHELL,ALP
VIC,Melbourne,WITTY,ALP
VIC,Menzies,NG,ALP
VIC,Monash,ALDRED,LP
VIC,Nicholls,BIRRELL,NP
VIC,Scullin,GILES,ALP
VIC,Wannon,TEHAN,LP
VIC,Wills,KHALIL,ALP
QLD,Blair,NEUMANN,ALP
QLD,Bonner,COOK,ALP
QLD,Bowman,PIKE,LNP
QLD,Brisbane,JARRETT,ALP
QLD,Capricornia,LANDRY,LNP
QLD,Dawson,WILLCOX,LNP
QLD,Dickson,FRANCE,ALP
QLD,Fadden,CALDWELL,LNP
QLD,Fairfax,O'BRIEN,LNP
QLD,Fisher,WALLACE,LNP
QLD,Flynn,BOYCE,LNP
QLD,Forde,HOLZBERGER,ALP
QLD,Griffith,COFFEY,ALP
QLD,Groom,HAMILTON,LNP
QLD,Herbert,THOMPSON,LNP
QLD,Hinkler,BATT,LNP
QLD,Kennedy,KATTER,KAP
QLD,Leichhardt,SMITH,ALP
QLD,Lilley,WELLS,ALP
QLD,Longman,YOUNG,LNP
QLD,Maranoa,LITTLEPROUD,LNP
QLD,McPherson,REBELLO,LNP
QLD,Moncrieff,BELL,LNP
QLD,Moreton,CAMPBELL,ALP
QLD,Oxley,DICK,ALP
QLD,Petrie,COMER,ALP
QLD,Rankin,CHALMERS,ALP
QLD,Ryan,WATSON-BROWN,GRN
